address line1,city,state province,postal code,latitude,longitude,known use,owner,owner type,bbl,area acres
150 PLACE,,NY,11357,40.7849826143,-73.8104591798,,New York City Department of Citywide Administrative Services,public,4046990032,0.062098255280183500
DELONG STREET,,NY,,40.7542291275,-73.8397429573,,New York City Department of Citywide Administrative Services,public,4050660190,0.229568411387000000
38-80 DOUGLASTON PARKWAY,,NY,11363,40.770571812,-73.7508691155,,New York City Department of Housing Preservation and Development,public,4080820255,0.272566574839785100
0 159 AVENUE,,NY,11414,40.6591724189,-73.8298287618,,New York City Department of Citywide Administrative Services,public,4141820018,0.250964187328268400
VAN DER LINN STREET,,NY,11414,40.6572174991,-73.8327336221,,New York City Department of Citywide Administrative Services,public,4142250184,0.140495867768844000
VAN DER LINN STREET,,NY,11414,40.6574152297,-73.8327765258,,New York City Department of Citywide Administrative Services,public,4142250187,0.204315886134430000
BAYVIEW AVENUE,,NY,,40.6563303747,-73.8325472531,,New York City Department of Citywide Administrative Services,public,4142280218,0.036730945821920000
102 STREET,,NY,,40.6560453914,-73.8305808151,,New York City Department of Citywide Administrative Services,public,4142280851,0.037764003673161500
99-62 RAU COURT,,NY,,40.6537402366,-73.8303339114,,New York City Department of Citywide Administrative Services,public,4142310087,0.083057851239816600
SOUTH AVENUE,,NY,10303,40.6333822514,-74.165920944,,New York City Department of Small Business Services,public,5012610082,0.160697887970900000
HOLLAND AVE,,NY,10303,40.6370492242,-74.1715072703,,New York City Department of Small Business Services,public,5013180144,0.106749311294955000
